M1,M0,M2
517,513,517
517,513,517
517,513,516
517,513,516
517,513,517
517,513,517
517,513,517
517,513,517
517,513,517
517,513,516
517,513,517
516,514,517
517,514,517
517,514,517
514,512,515
516,513,516
517,513,517
516,513,516
516,513,516
516,513,516
517,513,516
516,513,516
516,513,516
516,513,517
517,513,517
516,513,516
517,513,517
516,514,517
516,513,516
517,513,516
516,513,516
517,514,517
516,513,517
516,513,516
516,513,516
516,513,517
517,513,516
516,513,516
516,514,516
516,513,516
516,513,517
517,513,516
516,513,516
516,513,516
516,513,516
517,513,516
516,513,516
517,513,516
516,513,516
516,513,516
517,513,517
516,513,516
516,513,516
517,514,517
516,513,517
517,513,516
516,513,517
517,513,517
516,513,517
516,513,516
517,513,517
516,513,517
516,513,517
517,513,517
516,513,516
517,513,516
516,513,516
517,513,517
516,513,516
517,513,516
516,513,516
517,513,516
516,513,516
517,513,516
516,513,516
517,513,516
516,513,516
516,513,516
516,513,516
516,513,516
517,513,517
517,513,516
516,513,517
516,513,516
516,513,516
516,513,516
517,513,516
517,513,517
516,513,516
516,513,516
516,514,517
517,513,516
516,513,516
517,513,516
516,513,516
517,514,517
517,513,517
517,514,517
517,513,516
517,514,517
517,514,516
517,513,517
517,514,517
517,514,517
517,514,517
517,513,517
517,513,517
517,513,517
516,513,516
517,513,516
516,513,516
517,514,517
515,512,515
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
517,513,516
516,513,516
517,513,516
516,513,516
516,513,517
516,513,516
516,513,517
516,513,516
517,513,517
517,513,516
516,513,516
517,513,517
516,513,517
516,513,516
517,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
517,513,517
516,513,516
517,513,517
516,513,516
517,514,517
516,513,516
516,513,516
514,511,514
517,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
516,513,516
